Race Number,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track Type
19,Kansas,22,28,27,   J.J. Yeley,Rick Ware,Ford,265,running,0,0,0,Oval
19,Kansas,23,22,95,   Christopher Bell,Rheem   (Leavine Family Racing),Toyota,264,running,0,14,0,Oval
19,Kansas,24,32,0,   Quin Houff,Creek Enterprise   (StarCom Racing),Chevrolet,260,running,0,13,0,Oval
19,Kansas,25,33,53,   Josh Bilicki,RBR Aviation / Junction Fuels   (Rick Ware),Chevrolet,260,running,0,0,0,Oval
19,Kansas,26,26,77,   Garrett Smithley,Formula One Imports   (Spire Motorsports),Chevrolet,260,running,0,0,0,Oval
19,Kansas,27,16,3,   Austin Dillon,American Ethanol   (Richard Childress),Chevrolet,251,running,0,10,0,Oval
19,Kansas,28,18,6,   Ryan Newman,Wyndham Rewards   (Jack Roush),Ford,251,running,0,9,0,Oval
19,Kansas,29,34,51,   Joey Gase,Page Construction   (Rick Ware),Ford,251,running,0,0,0,Oval
19,Kansas,30,29,15,   Brennan Poole,Spartan Mosquito   (Rick Ware),Chevrolet,219,running,0,7,0,Oval
19,Kansas,31,39,7,   Reed Sorenson,"Wilkerson Crane & Rental   (Tommy Baldwin, Jr.)",Chevrolet,216,electrical,0,6,0,Oval
19,Kansas,32,20,48,   Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,200,dvp,0,7,0,Oval
19,Kansas,33,13,17,   Chris Buescher,Fifth Third Bank   (Jack Roush),Ford,182,crash,0,4,0,Oval
19,Kansas,34,35,37,   Ryan Preece,Bush's Beans   (JTG-Daugherty Racing),Chevrolet,181,crash,0,3,0,Oval
19,Kansas,35,2,22,   Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,176,crash,27,2,0,Oval
19,Kansas,36,12,21,   Matt DiBenedetto,Menards / Dutch Boy   (Wood Brothers),Ford,175,crash,0,1,0,Oval
19,Kansas,37,17,43,   Bubba Wallace,Victory Junction   (Richard Petty Motorsports),Chevrolet,170,crash,0,1,0,Oval
19,Kansas,38,38,66,   Timmy Hill,RoofClaim.com   (Carl Long),Toyota,116,electrical,0,0,0,Oval
19,Kansas,39,40,78,   B.J. McLeod,Axele.com   (B.J. McLeod),Chevrolet,66,rear gear,0,0,0,Oval
19,Kansas,40,25,47,   Ricky Stenhouse Jr,Kroger / Oscar Mayer / Ball Park / NOS   (JTG-Daugherty Racing),Chevrolet,58,electrical,0,1,0,Oval
20,Loudon,1,4,2,   Brad Keselowski,Western Star / Alliance Parts   (Roger Penske),Ford,301,running,184,56,6,Oval
20,Loudon,2,2,11,   Denny Hamlin,FedEx Express   (Joe Gibbs),Toyota,301,running,92,54,1,Oval
20,Loudon,3,11,19,   Martin Truex Jr,Sport Clips   (Joe Gibbs),Toyota,301,running,0,46,0,Oval
20,Loudon,4,9,22,   Joey Logano,AAA Insurance   (Roger Penske),Ford,301,running,0,44,0,Oval
20,Loudon,5,7,4,   Kevin Harvick,Mobil 1   (Stewart Haas Racing),Ford,301,running,6,40,0,Oval
20,Loudon,6,19,21,   Matt DiBenedetto,Motorcraft / Quick Lane   (Wood Brothers),Ford,301,running,0,32,0,Oval
20,Loudon,7,1,10,   Aric Almirola,Smithfield Hometown Original   (Stewart Haas Racing),Ford,301,running,2,38,0,Oval
20,Loudon,8,14,41,   Cole Custer,HaasTooling.com   (Stewart Haas Racing),Ford,301,running,0,29,0,Oval
20,Loudon,9,3,9,   Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,301,running,9,30,0,Oval
20,Loudon,10,13,8,   Tyler Reddick,Feeding America   (Richard Childress),Chevrolet,301,running,0,27,0,Oval
20,Loudon,11,16,24,   William Byron,Liberty University   (Rick Hendrick),Chevrolet,301,running,0,32,0,Oval
20,Loudon,12,20,48,   Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,301,running,0,25,0,Oval
20,Loudon,13,23,3,   Austin Dillon,Freightliner   (Richard Childress),Chevrolet,301,running,3,28,0,Oval
20,Loudon,14,31,47,   Ricky Stenhouse Jr,Kroger / Ball Park / Bush's / NOS   (JTG-Daugherty Racing),Chevrolet,301,running,0,23,0,Oval
20,Loudon,15,8,88,   Alex Bowman,ChevyGoods.com / Adam's Polishes   (Rick Hendrick),Chevrolet,301,running,0,22,0,Oval
20,Loudon,16,30,37,   Ryan Preece,Louisiana Hot Sauce   (JTG-Daugherty Racing),Chevrolet,301,running,0,23,0,Oval
20,Loudon,17,10,1,   Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,301,running,0,20,0,Oval
20,Loudon,18,6,14,   Clint Bowyer,Haas Automation   (Stewart Haas Racing),Ford,301,running,0,28,0,Oval
20,Loudon,19,18,34,   Michael McDowell,Chicago Pneumatic   (Bob Jenkins),Ford,301,running,0,18,0,Oval
20,Loudon,20,12,12,   Ryan Blaney,Menards / TruWave Technology by Sylvania   (Roger Penske),Ford,301,running,5,22,0,Oval
20,Loudon,21,22,6,   Ryan Newman,Guaranteed Rate   (Jack Roush),Ford,300,running,0,16,0,Oval
20,Loudon,22,25,13,   Ty Dillon,GEICO   (Germain Racing),Chevrolet,300,running,0,15,0,Oval
20,Loudon,23,15,43,   Bubba Wallace,Cash App   (Richard Petty Motorsports),Chevrolet,300,running,0,4,0,Oval
20,Loudon,24,17,20,   Erik Jones,Toyota Camry   (Joe Gibbs),Toyota,300,running,0,13,0,Oval
20,Loudon,25,24,17,   Chris Buescher,Fastenal / Milwaukee   (Jack Roush),Ford,300,running,0,12,0,Oval
20,Loudon,26,37,96,   Daniel Suarez,Toyota Genuine Parts & Service   (Gaunt Brothers),Toyota,299,running,0,11,0,Oval
20,Loudon,27,34,15,   Brennan Poole,Remember Everyone Deployed   (Rick Ware),Chevrolet,299,running,0,10,0,Oval
20,Loudon,28,35,95,   Christopher Bell,Rheem / Watts   (Leavine Family Racing),Toyota,299,running,0,16,0,Oval
20,Loudon,29,29,27,   J.J. Yeley,Rick Ware Racing   (Rick Ware),Ford,299,running,0,0,0,Oval
20,Loudon,30,26,53,   James Davison,Signing Day Sports   (Rick Ware),Chevrolet,298,running,0,7,0,Oval
20,Loudon,31,27,77,   Garrett Smithley,Brackett's Market   (Spire Motorsports),Chevrolet,295,running,0,0,0,Oval
20,Loudon,32,32,0,   Quin Houff,Permatex   (StarCom Racing),Chevrolet,294,running,0,5,0,Oval
20,Loudon,33,38,66,   Timmy Hill,CrashClaimsR.us / James Carter Attorney   (Carl Long),Toyota,294,running,0,0,0,Oval
20,Loudon,34,28,51,   Joey Gase,Page Construction   (Rick Ware),Ford,293,running,0,0,0,Oval
20,Loudon,35,33,32,   Corey LaJoie,Trump 2020   (Archie St. Hilaire),Ford,262,running,0,-8,0,Oval
20,Loudon,36,36,38,   John H. Nemechek,Citgard   (Bob Jenkins),Ford,212,crash,0,1,0,Oval
20,Loudon,37,21,42,   Matt Kenseth,Clover   (Chip Ganassi),Chevrolet,203,crash,0,1,0,Oval
20,Loudon,38,5,18,   Kyle Busch,Pedigree   (Joe Gibbs),Toyota,15,crash,0,1,0,Oval
