Track, EndPos, StartPos, CarNumber, Driver, Sponsor, Manufacturer, Laps, Led, Pts, PPts
Atlanta,34,31,78, B.J. McLeod,Surface Sunscreen  (B.J. McLeod),Ford,313,running,0,0,0
Atlanta,35,36,53, Joey Gase,Donate Life Georgia  (Rick Ware),Chevrolet,308,running,0,0,0
Atlanta,36,38,66, Timmy Hill,Supreme Transportation Group  (Carl Long),Toyota,305,running,0,0,0
Atlanta,37,37,52, Josh Bilicki,Insurance King  (Rick Ware),Ford,285,running,0,1,0
Atlanta,38,5,9, Chase Elliott,NAPA Auto Parts  (Rick Hendrick),Chevrolet,220,engine,0,4,0
Atlanta,39,11,1, Kurt Busch,Monster Energy  (Chip Ganassi),Chevrolet,113,crash,1,8,0
Bristol (Dirt),1,10,22, Joey Logano,Shell / Pennzoil  (Roger Penske),Ford,253,running,61,55,6
Bristol (Dirt),2,13,47, Ricky Stenhouse Jr,Kroger  (JTG-Daugherty Racing),Chevrolet,253,running,0,42,0
Bristol (Dirt),3,2,11, Denny Hamlin,FedEx Freight  (Joe Gibbs),Toyota,253,running,1,50,0
Bristol (Dirt),4,18,99, Daniel Suarez,Camping World  (Trackhouse Racing),Chevrolet,253,running,58,49,0
Bristol (Dirt),5,14,6, Ryan Newman,Oscar Mayer Cold Cuts  (Jack Roush),Ford,253,running,0,41,0
Bristol (Dirt),6,8,24, William Byron,Liberty University  (Rick Hendrick),Chevrolet,253,running,0,40,0
Bristol (Dirt),7,27,8, Tyler Reddick,Bet MGM  (Richard Childress),Chevrolet,253,running,0,32,0
Bristol (Dirt),8,3,12, Ryan Blaney,Advance My Truck Challenge  (Roger Penske),Ford,253,running,0,35,0
Bristol (Dirt),9,24,43, Erik Jones,Tide / Food City  (Richard Petty Motorsports),Chevrolet,253,running,0,31,0
Bristol (Dirt),10,26,9, Chase Elliott,NAPA Auto Parts  (Rick Hendrick),Chevrolet,253,running,0,28,0
Bristol (Dirt),11,20,2, Brad Keselowski,Discount Tire  (Roger Penske),Ford,253,running,0,26,0
Bristol (Dirt),12,16,34, Michael McDowell,Love's Travel Stops  (Bob Jenkins),Ford,253,running,0,25,0
Bristol (Dirt),13,12,21, Matt DiBenedetto,Menards / Quaker State  (Wood Brothers),Ford,253,running,0,24,0
Bristol (Dirt),14,11,17, Chris Buescher,Fastenal  (Jack Roush),Ford,253,running,0,24,0
Bristol (Dirt),15,6,4, Kevin Harvick,Busch Light  (Stewart Haas Racing),Ford,253,running,0,22,0
Bristol (Dirt),16,28,1, Kurt Busch,Monster Energy  (Chip Ganassi),Chevrolet,253,running,0,21,0
