Track,Pos,St,#,Driver,Sponsor/Owner,Car,Led,TrackType
Charlotte,25,16,13,TyDillon,GEICOMilitary(GermainRacing),Chevrolet,0,Oval
Charlotte,26,4,42,MattKenseth,McDonald'sMcDelivery(ChipGanassi),Chevrolet,0,Oval
Charlotte,27,18,6,RyanNewman,Roman(JackRoush),Ford,0,Oval
Charlotte,28,37,96,DanielSuarez,Today.Tomorrow.ToyotaPatriotic(GauntBrothers),Toyota,0,Oval
Charlotte,29,13,11,DennyHamlin,FedEx#SupportSmall(JoeGibbs),Toyota,0,Oval
Charlotte,30,35,15,BrennanPoole,InMemoryofSFCNathanChapman(RickWare),Chevrolet,0,Oval
Charlotte,31,31,27,GrayGaulding,PaniniAmerica(RickWare),Ford,0,Oval
Charlotte,32,36,78,B.J.McLeod,CircleTrackWarehouseAuction(B.J.McLeod),Ford,0,Oval
Charlotte,33,38,53,GarrettSmithley,VictoryLaneQuickOilChange(RickWare),Chevrolet,0,Oval
Charlotte,34,32,66,TimmyHill,RoofClaim.com(CarlLong),Toyota,0,Oval
Charlotte,35,30,0,QuinHouff,GoodGreekMovers(StarComRacing),Chevrolet,0,Oval
Charlotte,36,39,51,JoeyGase,ASC/CarolinaCoolerPatriotic(RickWare),Ford,0,Oval
Charlotte,37,34,7,J.J.Yeley,"VCP(TommyBaldwin,Jr.)",Chevrolet,0,Oval
Charlotte,38,23,43,BubbaWallace,U.S.AirForce(RichardPettyMotorsports),Chevrolet,0,Oval
Charlotte,39,20,14,ClintBowyer,Rush/MobilDelvac1(StewartHaasRacing),Ford,0,Oval
Charlotte,40,2,48,JimmieJohnson,AllyPatriotic(RickHendrick),Chevrolet,6,Oval
Charlotte,1,19,9,ChaseElliott,KelleyBlueBook(RickHendrick),Chevrolet,28,Oval
